Model,Train MAE,Test MAE,Test MSE,Test RMSE,Train R2,Test R2,R2 Gap
Decision Tree Regression,2567.4695499418976,2621.3124045359605,18886631.250029117,4345.875199546015,0.8552421631591555,0.8972190041804287,-0.04197684102127319
Polynomial Regression,2877.2495078129436,2867.317439475322,21585843.72442198,4646.056793068933,0.8340263483080009,0.882529897246852,-0.048503548938851115
Linear Regression,4181.901537775147,4177.045561036325,35478020.6752356,5956.342894363587,0.7299057809339075,0.8069287081198012,-0.07702292718589376
